KIT DE CALIPER IMPORTADOS BBP;;;;;;;;;;;
Referencia ;Descripción;Cantidad ;Diametro;;;Costos ;PRECIO $ CARACAS ;PRECIO $ ORIENTE ;C ATEGORIA;EQUIVALENCIA;MARCA 
41514;Kit de Caliper Mitsubishi Series: Lancer/Outlander Past.7741,Caliber;1 Rueda;58,60mm;;;2,40;5,33;6,00;KIT DE CALIPER IMPORTADO;;
41515;Kit de Caliper Chevrolet Cheyenne 3500 Past D1411 8523 Delantera;1 Rueda;60,99mm;;;5,40;12,00;13,50;KIT DE CALIPER IMPORTADO;;
41516;Kit de Caliper Ford Explorer, 2006/2010, Pastilla D1158 8268;1 Rueda;51,92mm;;;3,50;7,78;8,75;KIT DE CALIPER IMPORTADO;;
41520;Kit De Caliper Ford Series Econoline Series E:150/250/350 08/19 Past.D1329 8441;1 Rueda;48,31;;;4,50;10,00;11,25;KIT DE CALIPER IMPORTADO;;
41529K;Kit de Caliper Dodge Ram, T2500/3500, 09/10 Trasero, Pastilla D1400 8508.;1 Rueda;51,51mm;;;7,20;16,00;18,00;KIT DE CALIPER IMPORTADO;;
41544K;Kit de Caliper Chevrolet: Cruze 11/15, Sonic 13/16, Toyota Camry 13/14 Trasero.;1 Rueda;38,84mm;;;7,20;16,00;18,00;KIT DE CALIPER IMPORTADO;;
41545;Kit de Caliper Ford F-250/350, Super Duty 2011/12, Pastilla D1631 7974;1 Rueda;60,40mm;;;6,50;14,44;16,25;KIT DE CALIPER IMPORTADO;;
41547K;Kit de Caliper Ford F-250 Super Duty 2011/12, Pastilla D1334 7973;1 Rueda;48,64mm;;;6,00;13,33;15,00;KIT DE CALIPER IMPORTADO;;
41549;Kit de Caliper Chevrolet Cheyenne 3500, Pastilla D1411 8523, Trasera.;1 Rueda;58,60mm;;;5,40;12,00;13,50;KIT DE CALIPER IMPORTADO;;
41551;Kit de Caliper Ford Series: F-350 Super Duty 11/12, Trasero, Pastilla D1334 7973;1 Rueda;54,23mm;;;3,30;7,33;8,25;KIT DE CALIPER IMPORTADO;;
41556K;Kit de Caliper Ford Explorer Trasero, 2013/16 , Pastilla D1612 8825;1 Rueda;45,14mm;;;6,00;13,33;15,00;KIT DE CALIPER IMPORTADO;;
41560;Kit de Caliper Ford Explorer, Pastilla D1611 8824 Delantero.Chevrolet Silverado 2500 Trasero, Pastilla D1565 8523;1 Rueda;48,31mm;;;3,90;8,67;9,75;KIT DE CALIPER IMPORTADO;;
41566K;Kit de Caliper Ford Explorer Trasero, 2017/18, Pastilla D1754 8488 / 8970;1 Rueda;46,64mm;;;7,20;16,00;18,00;KIT DE CALIPER IMPORTADO;;
